Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2020-01-02,000596,131.3,142.88,131.3,137.2,50214,690189376.0,1.28,0.9417304296645084,0,2,2,0,0,2,0,0,0,2,1,0,1,0,0,0
2020-01-03,000596,136.2,137.85,130.69,133.07,39177,521756992.0,-4.13,-3.010204081632653,,,,,,,,,1,2,1,0,1,1,0,1
2020-01-06,000596,131.99,135.95,130.41,135.12,44459,597867840.0,2.05,1.5405425715788683,0,1,0,0,1,0,0,0,,,,,,,,
2020-01-07,000596,134.5,135.99,133.7,135.42,18452,249036320.0,0.3,0.2220248667850799,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0
2020-01-08,000596,136.1,141.88,135.3,138.16,26966,373742464.0,2.74,2.023334810220056,0,1,0,1,0,0,1,0,,,,,,,,
2020-01-09,000596,138.17,148.98,138.17,145.68,38596,558307648.0,7.52,5.4429646786334684,,,,,,,,,4,59,27,21,11,2,0,1
2020-01-10,000596,146.9,156.49,144.0,154.3,29488,444491328.0,8.62,5.917078528281164,,,,,,,,,1,3,3,0,0,1,0,0
2020-01-13,000596,152.4,158.1,147.63,149.86,47485,720685504.0,-4.44,-2.87751134154245,,,,,,,,,2,9,6,2,1,1,1,0
2020-01-14,000596,149.85,149.87,144.86,145.9,38963,570537536.0,-3.96,-2.642466301881756,,,,,,,,,2,5,2,0,3,0,0,0
2020-01-15,000596,145.9,148.92,145.9,147.1,27436,404427776.0,1.2,0.822481151473612,0,2,0,1,1,0,1,1,1,2,1,0,1,0,0,1
2020-01-16,000596,147.36,151.43,147.1,149.63,25778,384359456.0,2.53,1.7199184228416042,2,4,2,2,0,2,2,0,0,4,4,0,0,0,0,0
2020-01-17,000596,151.4,151.4,145.55,147.3,22985,338186432.0,-2.33,-1.5571743634297934,,,,,,,,,0,2,2,0,0,1,0,0
2020-01-20,000596,145.5,147.77,145.0,146.93,21104,309190560.0,-0.37,-0.2511880515953836,,,,,,,,,0,2,0,0,2,0,0,0
2020-01-21,000596,147.02,149.5,144.0,146.72,30723,450599072.0,-0.21,-0.1429252024773701,,,,,,,,,1,4,2,0,2,2,0,0
2020-01-22,000596,147.06,147.98,145.51,147.38,17679,259700064.0,0.66,0.4498364231188659,0,1,0,1,0,0,1,0,0,4,0,0,4,0,0,0
2020-01-23,000596,145.69,147.98,141.33,143.2,25503,368737248.0,-4.18,-2.836205726692903,,,,,,,,,0,1,0,0,1,0,0,0
2020-02-03,000596,128.88,128.88,128.88,128.88,10795,139125952.0,-14.32,-10.0,,,,,,,,,0,4,0,1,3,0,0,1
2020-02-04,000596,118.5,128.0,116.11,127.0,98911,1187409536.0,-1.88,-1.458721291123526,,,,,,,,,,,,,,,,
2020-02-05,000596,123.0,125.45,120.05,125.33,94470,1153848192.0,-1.67,-1.31496062992126,,,,,,,,,,,,,,,,
2020-02-06,000596,122.49,125.01,120.2,124.89,75744,929013504.0,-0.44,-0.3510731668395436,,,,,,,,,,,,,,,,
