Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2020-01-02,300433,14.0,15.05,13.8,14.82,870008,1272020352,1.0,7.23589001447178,,,,,,,,,3,4,2,2,0,1,1,0
2020-01-03,300433,14.8,15.25,14.66,15.16,787072,1177569920,0.34,2.2941970310391366,1,4,2,2,0,2,2,0,4,4,3,0,1,2,0,1
2020-01-06,300433,15.1,16.16,15.05,15.85,1010553,1581863168,0.69,4.5514511873350925,,,,,,,,,1,4,2,2,0,2,1,0
2020-01-07,300433,15.6,16.2,15.53,15.88,707791,1122416128,0.03,0.1892744479495268,,,,,,,,,,,,,,,,
2020-01-08,300433,15.7,15.91,15.21,15.28,703777,1090259200,-0.6,-3.778337531486146,,,,,,,,,,,,,,,,
2020-01-09,300433,15.71,16.15,15.45,16.1,758244,1198124288,0.82,5.366492146596859,,,,,,,,,,,,,,,,
2020-01-10,300433,16.19,16.37,15.83,16.05,511186,822097088,-0.05,-0.3105590062111801,,,,,,,,,0,1,0,1,0,0,1,0
2020-01-13,300433,15.93,17.12,15.76,17.02,731516,1210018688,0.97,6.043613707165109,,,,,,,,,,,,,,,,
2020-01-14,300433,17.05,17.19,16.6,16.68,492531,830528768,-0.34,-1.99764982373678,1,2,0,2,0,0,2,0,,,,,,,,
2020-01-15,300433,16.6,17.53,16.49,17.4,625791,1076664576,0.72,4.316546762589928,,,,,,,,,0,2,2,0,0,0,0,0
2020-01-16,300433,17.45,17.97,17.16,17.81,662109,1166488320,0.41,2.35632183908046,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0
2020-01-17,300433,17.72,17.87,17.3,17.65,454745,798083520,-0.16,-0.8983717012914094,0,2,1,1,0,1,1,0,7,7,5,1,1,2,1,1
2020-01-20,300433,19.0,19.42,18.55,19.42,693360,1323887744,1.77,10.028328611898017,1,2,2,0,0,2,0,0,4,5,3,0,2,1,0,2
2020-01-21,300433,20.37,20.78,19.8,20.17,1161968,2345654272,0.75,3.8619979402677656,0,5,0,5,0,0,4,0,1,3,2,1,0,1,1,0
2020-01-22,300433,19.99,22.05,19.56,21.55,1146339,2368049664,1.38,6.841844323252355,0,1,1,0,0,1,0,0,,,,,,,,
2020-01-23,300433,21.0,22.2,19.99,20.68,1286219,2709579520,-0.87,-4.037122969837587,0,1,1,0,0,1,0,0,0,2,1,0,1,1,0,1
2020-02-03,300433,18.61,18.61,18.61,18.61,223695,416296384,-2.07,-10.009671179883943,0,1,0,0,1,0,0,1,9,9,3,5,1,0,1,0
2020-02-04,300433,17.65,19.75,17.65,19.72,1320169,2511254272,1.11,5.964535196131112,1,1,0,1,0,0,1,0,3,6,3,1,2,1,0,1
2020-02-05,300433,19.85,21.4,19.52,20.01,1208401,2458935040,0.29,1.4705882352941175,1,2,1,1,0,0,0,0,,,,,,,,
2020-02-06,300433,19.55,20.28,19.2,19.99,989686,1952804992,-0.02,-0.0999500249875062,,,,,,,,,,,,,,,,
2020-02-07,300433,19.7,19.7,18.5,19.26,1149941,2197835520,-0.73,-3.651825912956478,,,,,,,,,0,4,0,1,3,0,1,1
2020-02-10,300433,18.73,19.37,18.45,19.3,826116,1566787200,0.04,0.2076843198338525,0,3,0,3,0,0,2,0,5,5,3,2,0,1,1,0
2020-02-11,300433,19.8,20.93,19.38,20.67,1287589,2580982784,1.37,7.098445595854923,1,2,0,2,0,0,0,0,11,11,5,0,6,1,0,1
2020-02-12,300433,20.2,20.92,20.03,20.65,918184,1875595520,-0.02,-0.096758587324625,1,6,1,4,1,0,1,1,1,3,2,1,0,2,1,0
2020-02-13,300433,20.72,21.47,20.47,20.79,821534,1724163840,0.14,0.6779661016949152,0,1,1,0,0,0,0,0,2,6,2,4,0,1,3,0
2020-02-14,300433,20.5,21.88,20.5,21.42,882517,1884364544,0.63,3.0303030303030303,0,2,1,1,0,1,1,0,1,2,2,0,0,1,0,0
2020-02-17,300433,21.8,22.5,21.22,22.44,928726,2034223744,1.02,4.761904761904762,0,3,1,2,0,1,1,0,1,5,4,1,0,2,1,0
2020-02-18,300433,22.3,22.49,21.98,22.35,763810,1697499264,-0.09,-0.4010695187165776,,,,,,,,,,,,,,,,
2020-02-19,300433,22.16,22.17,21.06,21.2,944252,2040873984,-1.15,-5.1454138702460845,0,3,0,2,1,0,1,1,,,,,,,,
2020-02-20,300433,21.29,22.09,20.89,21.9,868146,1874687744,0.7,3.30188679245283,0,3,1,2,0,0,2,0,4,6,6,0,0,5,0,0
2020-02-21,300433,21.67,22.72,21.59,22.25,1046758,2313028096,0.35,1.5981735159817352,0,4,0,3,1,0,0,0,,,,,,,,
2020-02-24,300433,22.03,22.64,21.7,22.61,1049650,2325882880,0.36,1.6179775280898878,0,6,2,4,0,1,2,0,1,2,2,0,0,0,0,0
